Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Positive
FamilyStore;Neutral
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Neutral
HalloweenImpact;Negative
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Positive
kuglepen;Neutral
magisk fe;Neutral
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Neutral
stikkontakt;Neutral
Tearing;Negative
TuborgClassic;Neutral
Uprise;Positive
WeirdoScream;Negative
